id,roi,label.name,x,y,z,side,abbrev,long.name
55,55,LH_S.F.sup,-23.7462,-17.9511,49.7478,left,L.S.F.sup,S_front_sup
56,56,LH_S.IPJ,-57.7792,45.7126,24.107,left,L.S.IPJ,S_interm_prim-Jensen
57,57,LH_S.Iptra,-40.5621,57.153,38.507,left,L.S.Iptra,S_intrapariet_and_P_trans
58,58,LH_S.O.mid.Lu,-33.2589,86.6155,6.23703,left,L.S.O.mid.Lu,S_oc_middle_and_Lunatus
59,59,LH_S.O.sup.tra,-32.6293,81.7564,18.7801,left,L.S.O.sup.tra,S_oc_sup_and_transversal
60,60,LH_S.O.ant,-42.7738,66.4444,-6.43922,left,L.S.O.ant,S_occipital_ant
61,61,LH_S.O.lat,-43.6036,46.8204,-16.4119,left,L.S.O.lat,S_oc-temp_lat
62,62,LH_S.OT.med.ling,-26.6906,47.1297,-11.2467,left,L.S.OT.med.ling,S_oc-temp_med_and_Lingual
63,63,LH_S.Orb.lat,-45.216,-45.3591,-4.6216,left,L.S.Orb.lat,S_orbital_lateral
64,64,LH_S.Orb.med,-11.2538,-25.1308,-20.5154,left,L.S.Orb.med,S_orbital_med-olfact
65,65,LH_S.Orb.H,-25.675,-36.0275,-14.9901,left,L.S.Orb.H,S_orbital-H_Shaped
66,66,LH_S.PO,-20.12,68.8631,27.1918,left,L.S.PO,S_parieto_occipital
67,67,LH_S.per.Call,-4.31966,6.71217,18.505,left,L.S.per.Call,S_pericallosal
68,68,LH_S.pos.C,-40.6604,34.4153,48.8597,left,L.S.pos.C,S_postcentral
69,69,LH_S.pre.C.inf,-45.4316,-7.13321,26.6051,left,L.S.pre.C.inf,S_precentral-inf-part
70,70,LH_S.pre.C.sup,-27.5731,8.45059,55.1748,left,L.S.pre.C.sup,S_precentral-sup-part
71,71,LH_S.sub.Orb,-6.80586,-46.1203,-9.16239,left,L.S.sub.Orb,S_suborbital
72,72,LH_S.sub.P,-7.92194,47.7229,39.1866,left,L.S.sub.P,S_subparietal
73,73,LH_S.T.inf,-52.101,36.5814,-18.6542,left,L.S.T.inf,S_temporal_inf
74,74,LH_S.T.sup,-53.9223,36.8975,0.443245,left,L.S.T.sup,S_temporal_sup
75,75,LH_S.T.tra,-51.3269,21.3077,5.56868,left,L.S.T.tra,S_temporal_transverse
77,77,RH_F.mar,17.543,-62.0797,-11.9004,right,R.F.mar,G_and_S_frontomargin
78,78,RH_O.inf,43.0693,79.6659,-13.9556,right,R.O.inf,G_and_S_occipital_inf
79,79,RH_par.C,7.5311,33.0898,67.1407,right,R.par.C,G_and_S_paracentral
80,80,RH_sub.C,59.2472,5.60229,15.0817,right,R.sub.C,G_and_S_subcentral
81,81,RH_tran.F.pol,17.9477,-66.9082,4.83032,right,R.tran.F.pol,G_and_S_transv_frontopol
82,82,RH_Cin.A,6.76238,-40.4185,7.71299,right,R.Cin.A,G_and_S_cingul-Ant
83,83,RH_Cin.MA,6.63198,-14.0896,38.2383,right,R.Cin.MA,G_and_S_cingul-Mid-Ant
84,84,RH_Cin.MP,6.92062,11.9827,41.524,right,R.Cin.MP,G_and_S_cingul-Mid-Post
85,85,RH_Cin.PD,3.83021,36.9645,32.4423,right,R.Cin.PD,G_cingul-Post-dorsal
86,86,RH_Cin.PV,8.16719,50.0564,7.68861,right,R.Cin.PV,G_cingul-Post-ventral
87,87,RH_CU,7.40902,82.4833,22.0926,right,R.CU,G_cuneus
88,88,RH_F.inf.Op,52.7338,-13.8356,8.75922,right,R.F.inf.Op,G_front_inf-Opercular
89,89,RH_F.inf.Or,48.5355,-31.3711,-7.88401,right,R.F.inf.Or,G_front_inf-Orbital
90,90,RH_F.inf.Tr,52.3307,-33.0909,12.9992,right,R.F.inf.Tr,G_front_inf-Triangul
91,91,RH_F.mid,39.2837,-31.5618,37.0577,right,R.F.mid,G_front_middle
92,92,RH_F.sup,9.62946,-27.5104,47.7412,right,R.F.sup,G_front_sup
93,93,RH_Ins.ig,39.6086,1.04781,-3.31686,right,R.Ins.ig,G_Ins_lg_and_S_cent_ins
94,94,RH_Ins.sh,38.7766,-12.5163,-5.46839,right,R.Ins.sh,G_insular_short
95,95,RH_O.mid,46.0456,79.2254,9.39536,right,R.O.mid,G_occipital_middle
96,96,RH_O.sup,28.6386,84.9435,32.3551,right,R.O.sup,G_occipital_sup
97,97,RH_OT.latfus,33.355,50.3211,-18.662,right,R.OT.latfus,G_oc-temp_lat-fusifor
98,98,RH_OT.medling,11.4668,64.9313,-5.12803,right,R.OT.medling,G_oc-temp_med-Lingual
99,99,RH_OT.medparhip,26.0753,15.1948,-30.8437,right,R.OT.medparhip,G_oc-temp_med-Parahip
100,100,RH_Orb,30.4602,-38.5762,-16.1953,right,R.Orb,G_orbital
101,101,RH_P.infang,56.2857,53.3082,32.7616,right,R.P.infang,G_pariet_inf-Angular
102,102,RH_P.infsupmar,58.2991,25.9209,33.4116,right,R.P.infsupmar,G_pariet_inf-Supramar
