"urm","vox.x","vox.y","vox.z","vox.vol","vox.n","L.F.mar","L.O.inf","L.par.C","L.sub.C","L.tran.F.pol","L.Cin.A","L.Cin.MA","L.Cin.MP","L.Cin.PD","L.Cin.PV","L.CU","L.F.inf.Op","L.F.inf.Or","L.F.inf.Tr","L.F.mid","L.F.sup","L.Ins.ig","L.Ins.sh","L.O.mid","L.O.sup","L.OT.latfus","L.OT.medling","L.OT.medparhip","L.Orb","L.P.infang","L.P.infsupmar","L.P.sup","L.pos.C","L.pre.C","L.pre.CU","L.R","L.sub.Call","L.T.sup.Gttra","L.T.sup.lat","L.T.sup.pol","L.T.sup.tem","L.T.inf","L.T.mid","L.Lat.FisHor","L.Lat.FisVer","L.Lat.FisPos","L.pole.O","L.poleT","L.S.Cal","L.S.Cen","L.S.cingM","L.S.Ins.ant","L.S.Ins.inf","L.S.Ins.sup","L.S.coll.tra.ant","L.S.coll.tra.pos","L.S.F.inf","L.S.F.mid","L.S.F.sup","L.S.IPJ","L.S.Iptra","L.S.O.mid.Lu","L.S.O.sup.tra","L.S.O.ant","L.S.O.lat","L.S.OT.med.ling","L.S.Orb.lat","L.S.Orb.med","L.S.Orb.H","L.S.PO","L.S.per.Call","L.S.pos.C","L.S.pre.C.inf","L.S.pre.C.sup","L.S.sub.Orb","L.S.sub.P","L.S.T.inf","L.S.T.sup","L.S.T.tra","R.F.mar","R.O.inf","R.par.C","R.sub.C","R.tran.F.pol","R.Cin.A","R.Cin.MA","R.Cin.MP","R.Cin.PD","R.Cin.PV","R.CU","R.F.inf.Op","R.F.inf.Or","R.F.inf.Tr","R.F.mid","R.F.sup","R.Ins.ig","R.Ins.sh","R.O.mid","R.O.sup","R.OT.latfus","R.OT.medling","R.OT.medparhip","R.Orb","R.P.infang","R.P.infsupmar","R.P.sup","R.pos.C","R.pre.C","R.pre.CU","R.R","R.sub.Call","R.T.sup.Gttra","R.T.sup.lat","R.T.sup.pol","R.T.sup.tem","R.T.inf","R.T.mid","R.Lat.FisHor","R.Lat.FisVer","R.Lat.FisPos","R.pole.O","R.poleT","R.S.Cal","R.S.Cen","R.S.cingM","R.S.Ins.ant","R.S.Ins.inf","R.S.Ins.sup","R.S.coll.tra.ant","R.S.coll.tra.pos","R.S.F.inf","R.S.F.mid","R.S.F.sup","R.S.IPJ","R.S.Iptra","R.S.O.mid.Lu","R.S.O.sup.tra","R.S.O.ant","R.S.O.lat","R.S.OT.med.ling","R.S.Orb.lat","R.S.Orb.med","R.S.Orb.H","R.S.PO","R.S.per.Call","R.S.pos.C","R.S.pre.C.inf","R.S.pre.C.sup","R.S.sub.Orb","R.S.sub.P","R.S.T.inf","R.S.T.sup","R.S.T.tra","L.thal","L.caud","L.putm","L.pall","L.hipp","L.amyg","L.accm","R.thal","R.caud","R.putm","R.pall","R.hipp","R.amyg","R.accm","L.vent","R.vent","icv"
27974,1.00000143051147,1,1,1.00000143051147,11534336,2023,1863,2375,2217,1458,3281,2590,2099,921,385,1798,2922,643,2103,7277,13281,1074,1782,3319,2268,3340,3848,2696,4517,4595,5698,4427,3454,5466,4850,1701,867,1221,4989,1155,2144,6438,4817,429,338,1480,2195,4949,1631,3438,1349,806,1920,2691,2059,450,2203,2569,3985,743,3497,1085,1213,1366,897,2564,417,1316,1936,2006,1163,3106,2228,1349,944,1255,1067,6466,498,1756,1991,2251,1676,2367,4015,3145,2418,1143,482,2267,2087,904,3255,5463,12919,1023,1718,3577,2253,3164,2986,2795,5541,4950,4730,4423,3067,5682,4349,1229,623,665,4229,1872,1303,5139,6628,545,324,1607,3565,4799,2070,2950,1578,935,1366,1874,1507,541,2599,1935,3313,577,3036,802,1541,700,1150,2196,572,1005,1829,1689,1806,2317,2024,1788,429,1524,1610,9339,409,5364,3196,3771,1062,3201,654,378,5112,3263,3635,1064,3429,689,348,3853,3980,1213174
28982,1,1,1,1,11468800,1774,2365,2315,2856,1268,4385,2344,2837,1575,510,2429,3765,740,2821,9199,15961,908,1656,3464,2291,3419,3916,2407,5990,5101,8572,7311,3125,5817,7128,2186,199,1061,5540,1767,1967,6590,8669,407,399,1529,2516,4279,2512,2531,1383,928,2070,2792,1368,493,4396,2247,4288,581,5125,1263,1547,996,1083,3319,583,1469,1965,2421,1087,3735,2531,1860,935,1931,2233,7229,477,1936,2371,1743,2386,2620,5026,2640,2786,1651,387,2400,3533,915,3816,9084,13599,1159,1736,4632,2479,3338,3625,2285,6213,7601,7125,5246,3048,5658,7128,1310,591,811,4233,1343,1802,6093,10067,574,457,2021,3805,6071,2350,2662,1686,983,1534,2062,1363,775,3850,2984,4169,423,4987,1143,2114,948,826,2711,729,1239,2284,2970,1432,2985,2431,2224,568,2366,2220,8608,398,5719,3555,3734,1156,3716,816,360,5603,3629,3742,1132,3843,995,416,6576,5895,1310331
29096,1,1,1,1,11534336,1438,2466,2355,2537,1406,4137,2255,2322,1291,564,2317,3206,739,2271,6963,13195,1125,1992,4435,2155,4058,3421,3703,4826,5359,6153,5972,4369,4788,5712,2093,425,949,5039,1265,1426,5064,6331,346,462,1427,2243,4899,2826,3352,1409,749,2303,2843,1666,485,2885,1370,3679,390,3655,1102,1695,480,963,3163,472,1000,2108,3438,1444,4555,1692,1592,773,1620,1951,7746,508,1857,1936,1967,2696,2384,4795,3409,2742,1258,531,2348,2687,759,2102,6136,13957,1096,1590,4309,2759,3490,3206,2327,5350,5154,6550,4875,3090,4851,5960,1488,563,774,4171,1868,1359,5071,8358,609,276,2066,3606,5251,2557,2419,1773,970,1636,1906,1859,794,2270,2056,2919,531,3875,516,2372,1336,1373,3300,660,1162,2315,2792,1832,3744,2298,2252,455,2730,1626,9150,480,5382,3769,3889,959,3745,910,298,5593,3550,3929,874,3673,898,331,4184,2844,1242921
29332,1,1,1,1,11534336,2011,2659,2354,3480,1245,4558,2166,2051,1346,735,3000,3772,861,2952,11371,19991,1033,2127,5185,2005,4636,4573,2821,6024,6228,6607,7555,4161,6694,6418,1939,367,1245,6921,1666,1634,7674,10206,391,394,1555,3107,5972,3613,2824,1428,904,2463,2656,2329,333,3728,2227,5385,840,5377,1589,1838,1491,1410,3284,335,1500,2278,2749,1296,3708,2434,2296,1015,1938,2352,9461,576,2027,1978,1930,3678,3010,5834,2839,2732,2059,656,1797,3090,586,1712,11329,17215,1076,1600,5190,2510,5430,5755,3702,7047,6367,8186,6769,3332,6773,6051,1433,418,834,4757,2491,1549,8144,11226,406,206,2078,4221,6006,3026,3245,2499,1238,1836,1675,1635,448,2609,3613,4192,1082,3745,1621,1969,1532,1963,4214,459,1404,2562,978,1900,3657,3450,1893,269,4317,2447,10339,556,6458,3166,4128,950,4434,903,392,6386,3105,4011,945,3948,1020,433,11778,11449,1444033
31730,1,1,1,1,11534336,1896,2447,2420,3053,1490,4566,2605,2077,1512,501,1831,2755,624,2679,9831,13818,1094,2040,3724,2339,3928,4074,2534,4816,4671,6103,5208,3659,4963,5392,1693,488,782,5227,1689,2140,4677,7111,446,474,1318,2230,5046,3325,2815,1259,737,1686,2262,1468,755,3110,2253,4686,175,4644,1462,1629,1078,1354,3031,419,774,2331,2943,1009,2998,1978,1945,1183,1539,2365,7698,561,2042,2269,1826,2723,1481,4183,2715,2796,1564,450,2341,2590,433,2644,9685,14313,885,1844,3204,2443,3529,4047,2210,5233,6873,5397,4223,2399,5148,5110,1027,707,551,4755,1707,1878,5017,6792,654,208,2360,3579,5348,2627,2567,1722,1044,1602,1989,1558,929,2343,3208,4658,380,4621,903,1876,705,1007,3402,395,1012,2510,2876,1638,2316,2538,1323,613,2423,1405,8781,413,5962,3500,4449,1072,3672,840,355,5362,3481,4552,1054,2196,676,311,3656,3498,1198852
32159,1,1,1,1,11534336,1813,2021,2336,3106,1685,4808,3147,2747,1360,445,2345,2766,507,1805,8610,16129,1022,2327,4099,2292,4922,4579,4694,6060,4425,7590,5553,3416,6168,4894,1874,682,925,5381,1457,1866,6858,7796,587,490,1941,2519,5520,2777,3454,1457,834,2763,2603,1653,478,2474,1704,4863,277,3792,1982,1398,1384,2101,3360,518,1169,1910,2842,1596,3578,1973,1903,889,1374,1669,7713,636,1782,1544,2091,3556,2129,5849,3275,3091,1103,437,2149,2553,862,1897,8346,17019,1249,2063,4398,2691,6084,4237,3319,6264,7438,5918,3918,3151,5588,3614,1528,469,805,5161,1889,1352,4924,9744,563,263,2276,3903,6270,2745,3234,2014,1606,2105,2217,1588,563,2476,2954,4364,839,4216,1050,1405,1048,1756,2906,598,1208,2471,3163,1759,2267,2311,2042,338,1703,1813,9466,618,5950,3374,4800,1226,3606,764,438,5767,3274,5089,1180,3684,814,430,1400,1300,1256457
32231,1,1,1,1,11534336,2623,3047,3093,3400,1552,4643,3198,2934,1496,573,3720,3132,696,2649,13234,18171,1334,2310,6205,2830,4039,6091,3208,6309,6062,8390,7704,5579,6975,7409,2011,938,1285,5618,1818,2549,7038,9323,505,352,1763,3005,6334,3761,3722,1450,850,2349,2892,1969,732,3586,2859,5528,462,4677,1793,2338,971,1625,4174,443,1415,2680,4051,1123,5655,2184,2406,1615,1984,2406,9440,585,2159,2094,2634,2838,2876,6494,3434,3189,1089,989,2961,3546,1376,2721,9386,17336,1178,2247,5532,3995,5366,5270,3796,7495,7694,7994,5736,4432,7026,6498,1515,817,937,5583,1827,1014,5741,9493,503,277,1823,5346,5145,3444,3317,1864,1380,1980,2364,1693,904,3397,3861,4692,522,5649,1362,2435,966,1440,4279,582,1312,3009,3398,2004,4614,2393,2566,643,1342,2458,9058,479,6803,3764,5487,1436,3946,1196,488,6600,3990,5170,1330,3547,1179,454,8429,8311,1574617
32310,1,1,1,1,11534336,1640,2493,2295,3004,1607,4316,3114,2302,1300,497,2568,3042,864,2777,8803,16864,1010,2167,4413,2077,4442,4544,2498,5473,6867,5910,6357,3940,5237,6356,2064,478,802,5683,1609,1649,6906,6506,431,446,1568,2246,3990,2865,3174,1575,835,2078,3024,1663,373,3158,2000,3711,363,4233,1474,1704,877,1518,2982,404,1048,2827,3087,870,3473,1604,1698,927,1987,2159,9771,472,1725,2768,2335,3173,2328,4363,2689,3185,1630,919,3197,3203,1223,2319,7985,15386,919,1633,4950,2851,3657,4231,3310,5990,5607,5798,3976,3298,4765,5166,1344,969,641,4746,1382,1218,4937,6286,548,350,2046,4104,5116,3277,2991,2253,1021,1421,2364,1512,864,2759,2076,3651,472,4000,1093,2217,1422,1176,3059,667,1159,2447,2953,2609,2779,1869,1441,681,1647,1335,8152,392,5718,3682,4465,1336,3327,851,346,5659,3553,4298,1276,3410,842,427,7218,6227,1311596
32436,0.999997556209564,1,1,0.999997556209564,11468800,1326,2546,1737,2936,1490,3072,2211,1895,897,388,2118,2645,539,2359,6227,14090,1090,1931,3638,1861,2912,3032,2529,4927,4583,6191,4711,2907,4951,4628,2006,612,1163,4502,1514,2062,5606,4952,421,355,1642,2211,4806,1860,2731,1225,632,1699,2600,1471,318,3108,1648,4512,845,4118,761,1694,905,1066,2468,492,967,2415,2002,753,2954,2282,1525,942,1215,1023,6697,529,1977,1647,1642,1946,2323,3805,2332,2357,1482,556,2184,2086,840,1915,6473,13337,1227,1691,3677,2496,2506,3208,2535,5659,4643,5123,3418,3289,5476,4843,1379,439,653,3890,1524,1180,4591,7052,396,174,1883,3226,5409,2041,2541,1572,928,1810,1901,1430,484,1855,2531,3280,266,4044,1086,1668,1052,1201,2097,340,948,2225,2001,1330,2876,2418,2353,419,1793,1588,7189,312,4882,2939,3108,971,3469,981,334,4643,3092,3112,1038,2701,1027,315,5565,5742,1200276
32756,1,1,1,1,11468800,1754,3058,3007,2490,1338,3341,2936,2674,1431,482,2527,3154,736,2326,8545,15093,835,1875,3917,2374,3746,3830,2614,5443,4832,6204,5687,3135,4508,6340,1913,552,854,5034,1456,1627,5697,7137,356,417,1300,2322,4631,2349,2597,1813,655,1967,2298,1563,393,2908,1756,3408,294,4272,1119,1738,702,1337,3375,577,1048,2248,2163,1313,3407,2009,1255,1115,1344,2057,8079,378,1445,2072,1788,2469,2113,3983,2466,2542,1122,520,2674,2456,660,2341,7660,14789,914,1628,4064,2312,3845,3883,2258,6325,5402,6393,3688,3043,5018,5003,1318,636,792,4545,1651,1425,5620,6286,440,358,1935,3840,5952,2431,2887,2198,943,1699,1987,1194,709,2153,3334,4057,490,5303,905,2315,893,1222,3213,440,1198,2465,3168,1420,2947,2153,2140,329,2415,1433,7811,518,5252,3213,4146,1097,3689,803,327,5171,3181,4167,1100,3609,817,277,3694,3883,1237498
32907,1,1,1,1,11534336,2109,2294,2390,2453,1379,4200,2692,2063,1332,310,2068,3170,829,2771,9379,14934,1067,2368,3576,2241,3744,3142,3220,5417,4686,6241,4548,2980,4938,4791,2130,418,744,5356,1424,1897,5439,6972,512,731,1520,2179,5517,1788,2942,1654,1056,2365,2864,1666,330,2886,1676,3264,396,3073,1111,1696,841,1320,2862,543,1062,2036,2500,1004,3906,1952,1513,730,1313,1726,7356,510,1778,2303,2105,2291,2354,4044,3050,2778,1165,451,1970,2908,687,2118,9794,13098,1347,2029,3325,2993,3589,2983,3409,5639,5353,5986,4555,3050,4827,3713,1174,718,666,4886,1722,1065,5560,7987,710,310,1839,3307,5615,1729,3174,1832,1211,1563,2390,1230,727,2903,2736,4117,393,4484,538,2286,792,1423,2833,590,1063,2223,3534,1405,3152,2426,1512,186,1723,1699,8270,493,4801,2954,3628,977,3618,1202,296,4849,2869,3256,962,3737,1181,314,7438,7597,1302771
33789,1,1,1,1,11534336,1584,2829,2285,2383,938,3334,2180,1942,951,433,2542,3040,669,2330,6306,13464,693,1789,3977,2408,2698,3857,2265,5081,4113,4366,4628,2892,5210,4242,1865,480,810,4460,1221,1077,4160,5730,362,181,1165,2929,4330,2488,2675,1248,722,1793,2122,1399,455,2437,2549,3331,472,3040,1685,1084,1030,680,2554,375,965,1921,2221,736,2450,1888,1732,807,980,1194,6310,455,1544,2494,1909,1800,1761,4035,2692,2259,1076,481,2165,2486,794,2502,5239,13435,811,1510,3682,2749,2797,3453,2389,5592,6450,4479,3690,2553,5007,4421,1130,500,598,3746,1396,1018,3770,5904,586,350,1973,4213,4241,2237,2482,1599,850,1553,1719,1268,507,2862,3011,3052,475,3426,1380,1355,924,1007,2682,399,873,2084,2564,1141,1923,2081,1808,233,935,1018,8262,325,5114,2641,3736,1055,3351,746,312,5208,2727,3698,1084,3370,759,299,1053,523,1103066
