"urm","vox.x","vox.y","vox.z","vox.vol","vox.n","L.F.mar","L.O.inf","L.par.C","L.sub.C","L.tran.F.pol","L.Cin.A","L.Cin.MA","L.Cin.MP","L.Cin.PD","L.Cin.PV","L.CU","L.F.inf.Op","L.F.inf.Or","L.F.inf.Tr","L.F.mid","L.F.sup","L.Ins.ig","L.Ins.sh","L.O.mid","L.O.sup","L.OT.latfus","L.OT.medling","L.OT.medparhip","L.Orb","L.P.infang","L.P.infsupmar","L.P.sup","L.pos.C","L.pre.C","L.pre.CU","L.R","L.sub.Call","L.T.sup.Gttra","L.T.sup.lat","L.T.sup.pol","L.T.sup.tem","L.T.inf","L.T.mid","L.Lat.FisHor","L.Lat.FisVer","L.Lat.FisPos","L.pole.O","L.poleT","L.S.Cal","L.S.Cen","L.S.cingM","L.S.Ins.ant","L.S.Ins.inf","L.S.Ins.sup","L.S.coll.tra.ant","L.S.coll.tra.pos","L.S.F.inf","L.S.F.mid","L.S.F.sup","L.S.IPJ","L.S.Iptra","L.S.O.mid.Lu","L.S.O.sup.tra","L.S.O.ant","L.S.O.lat","L.S.OT.med.ling","L.S.Orb.lat","L.S.Orb.med","L.S.Orb.H","L.S.PO","L.S.per.Call","L.S.pos.C","L.S.pre.C.inf","L.S.pre.C.sup","L.S.sub.Orb","L.S.sub.P","L.S.T.inf","L.S.T.sup","L.S.T.tra","R.F.mar","R.O.inf","R.par.C","R.sub.C","R.tran.F.pol","R.Cin.A","R.Cin.MA","R.Cin.MP","R.Cin.PD","R.Cin.PV","R.CU","R.F.inf.Op","R.F.inf.Or","R.F.inf.Tr","R.F.mid","R.F.sup","R.Ins.ig","R.Ins.sh","R.O.mid","R.O.sup","R.OT.latfus","R.OT.medling","R.OT.medparhip","R.Orb","R.P.infang","R.P.infsupmar","R.P.sup","R.pos.C","R.pre.C","R.pre.CU","R.R","R.sub.Call","R.T.sup.Gttra","R.T.sup.lat","R.T.sup.pol","R.T.sup.tem","R.T.inf","R.T.mid","R.Lat.FisHor","R.Lat.FisVer","R.Lat.FisPos","R.pole.O","R.poleT","R.S.Cal","R.S.Cen","R.S.cingM","R.S.Ins.ant","R.S.Ins.inf","R.S.Ins.sup","R.S.coll.tra.ant","R.S.coll.tra.pos","R.S.F.inf","R.S.F.mid","R.S.F.sup","R.S.IPJ","R.S.Iptra","R.S.O.mid.Lu","R.S.O.sup.tra","R.S.O.ant","R.S.O.lat","R.S.OT.med.ling","R.S.Orb.lat","R.S.Orb.med","R.S.Orb.H","R.S.PO","R.S.per.Call","R.S.pos.C","R.S.pre.C.inf","R.S.pre.C.sup","R.S.sub.Orb","R.S.sub.P","R.S.T.inf","R.S.T.sup","R.S.T.tra","L.thal","L.caud","L.putm","L.pall","L.hipp","L.amyg","L.accm","R.thal","R.caud","R.putm","R.pall","R.hipp","R.amyg","R.accm","L.vent","R.vent","icv"
34273,1,1,1,1,11534336,1918,2527,2144,2092,1225,3892,2545,1802,843,435,1841,2915,781,1951,7510,12719,824,1671,3193,1980,2615,3850,2494,5031,4665,4706,3890,2890,5118,3710,1941,628,690,4251,1456,1754,5827,5715,362,524,1463,2313,5646,1853,3144,977,616,1811,2320,1621,258,3317,1503,3664,360,2525,878,1245,771,1031,2706,443,1103,1937,2213,1094,2706,2148,1842,981,1386,1637,6312,353,1665,1828,1693,2036,1780,4241,2622,2283,1046,465,1699,2203,1022,2128,6239,13737,948,2022,3262,2072,3104,3626,2264,5138,4824,3776,2896,2508,4716,3502,1413,363,660,3954,1241,974,5477,6162,704,269,1543,4161,4273,1865,2852,1467,851,1734,1764,1254,717,2603,3083,3073,290,3094,993,1375,614,1043,2099,450,1039,1973,2189,1463,1829,1801,1510,433,1147,1204,7011,304,4990,3274,4193,1158,2349,830,403,4736,3172,4223,1114,2270,836,338,4582,3822,1165792
34359,1,1,1,1,11534336,1655,2737,2354,2479,1089,3114,2340,1849,1190,298,1714,2854,515,1815,7740,13640,926,1844,3909,1847,3403,3486,2755,5865,4986,3928,4231,4178,5256,4256,1821,547,899,3879,1185,1549,4424,5973,360,329,1374,1939,3974,1977,2634,1376,778,1555,2128,1372,423,2609,2248,3772,277,3097,845,1627,578,1464,2504,395,823,2416,2088,857,3348,1996,1774,680,1257,1132,7269,447,1566,1706,1652,2587,1763,4090,2186,2084,876,475,1839,2340,536,1796,6556,13077,911,1341,3825,2831,3652,3201,2943,5591,5927,4858,3299,3301,5126,4209,1427,477,705,3473,958,1101,4639,5555,337,248,1882,2887,3408,1751,2250,1676,843,1595,1621,1069,685,2469,3183,3255,785,3146,773,1710,919,1191,2475,471,1014,2227,2624,1138,2000,2245,2202,853,1458,967,7854,323,4783,3249,3809,1046,3071,676,308,4783,3242,3554,1105,3020,644,321,12325,10084,1180909
34437,1,1,1,1,11534336,2752,3081,3544,4043,1622,5985,3291,3806,2722,886,3250,4388,1091,3760,13271,18846,1330,2626,5734,3152,4876,6017,3289,7330,7493,8558,7028,5728,8350,7510,2342,771,1098,6848,1720,2317,7186,8714,502,661,2086,3492,6008,3966,3715,2336,1250,2971,3153,1980,501,4461,4068,7076,1361,4866,1969,2680,882,1149,4867,904,1109,3442,3324,2944,5702,2924,2513,1478,2510,2857,11781,701,2164,2271,2696,3638,2193,7072,4250,3638,2387,1026,3028,2745,1124,3397,15380,18637,1313,2380,6928,3155,6294,6078,4453,8157,6885,9228,5744,5022,8040,7533,1805,451,1232,5847,1657,2180,6810,9207,598,594,3007,5186,5265,4028,3488,2854,1633,2493,1977,2313,638,5156,4280,5173,560,4690,2035,2668,1105,2063,3603,1165,1012,3333,3087,3307,5140,3588,2697,617,2592,2317,10060,551,7001,5306,5669,1720,4559,1088,455,7059,5272,5449,1654,4669,1142,405,7569,6807,1721567
34563,1,1,1,1,12189696,1923,2719,2496,3146,1774,4283,2554,2948,1849,601,2108,3717,740,3744,8720,16399,1314,2149,4549,2364,4026,3769,2954,6076,6552,7557,6180,3748,5999,6986,1932,1498,1144,4801,1614,1885,6896,6819,489,403,1580,2617,4982,2303,2878,1695,1046,1907,2835,1351,562,3488,1988,4283,385,5062,1499,1344,1305,1821,3216,693,1335,2557,2141,1304,3993,2607,2150,856,2485,2446,8106,320,1382,1954,1859,2874,1920,5027,3203,2594,1596,527,3242,3115,910,2833,8016,16322,1283,2433,4987,2337,4421,3943,3274,6966,6686,5851,6159,3533,6462,7156,1551,1031,772,5056,2017,1986,7667,8381,434,150,1819,3537,5161,2505,2965,2035,1142,1534,2005,1675,636,4078,2859,4805,349,4983,1087,2009,948,1942,3243,1199,1468,2530,3089,1479,3365,2513,2142,377,2266,2120,9746,614,6018,4413,5430,1334,3215,1027,423,6324,3916,5421,1307,4896,1027,388,7560,8417,1596855
34736,1,1,1,1,11534336,1437,2423,2321,2454,1494,3914,2602,2016,812,402,2168,2845,574,2536,7263,13912,1235,1920,5030,2214,2965,3270,2236,5070,4167,6117,5269,3678,4570,4368,1687,783,838,3907,1505,1109,5415,6238,389,498,1413,2243,5171,2256,2658,2068,808,1675,2535,989,356,2648,1619,3727,131,3781,914,1513,923,590,2680,461,984,2029,2577,1327,3855,1744,1357,901,1603,1551,6130,291,1603,2470,1874,2608,2219,4347,2632,2500,1261,386,2163,2020,688,2139,6835,13463,1144,1583,5191,2380,2607,3755,2733,5858,4358,5424,4598,3748,4725,4256,1166,450,737,4584,1251,1137,5439,7289,318,276,1739,3632,4541,2225,2702,2185,1083,1764,1850,1458,602,2688,2179,2891,263,3272,1153,2083,628,835,2094,474,1074,2146,2282,1282,2829,2055,1295,747,1706,1380,7480,472,4846,2978,3607,1049,3381,1050,329,4609,2953,3451,1047,3684,1055,285,4647,6915,1101136
34826,1,1,1,1,11534336,1586,3462,2925,3203,1542,3790,3629,2732,1475,691,2028,3738,736,2399,9823,16936,1086,1937,4208,2041,4544,4300,2812,6736,6549,7026,5572,3460,5781,6538,2107,1507,825,4043,1342,1111,6576,7000,570,327,1631,2671,4712,3070,2954,2133,1067,2740,3138,1395,741,4244,2224,4727,759,4846,1338,1586,990,1546,3264,670,1104,2490,2936,1395,3309,2008,1998,832,1772,2342,7428,343,2096,3109,2326,2707,1916,4945,3309,3112,1441,738,3025,2883,754,3317,9577,15723,1300,1998,5780,2164,4577,4046,3517,6808,6910,7487,4423,3730,5670,6398,1510,1043,826,3488,1918,1120,5409,8430,656,406,2019,4242,5082,2735,3054,2214,1049,1883,2202,1362,646,3782,2695,4502,520,4617,1393,1851,750,1366,3202,748,1411,2426,3758,1910,3207,2984,1661,547,2162,1620,8293,394,5646,3310,4198,1320,2852,1056,409,5684,3300,4176,1313,4321,969,348,3814,3656,1310248
34926,1,1,1,1,11534336,1613,2324,2383,2349,1383,4853,2945,1813,1094,493,2107,3256,765,2597,7145,13719,909,1941,4043,1737,3617,2074,2831,5591,5548,6229,5614,2890,4651,5946,2046,527,773,3795,1366,1133,5841,5594,298,312,1175,2188,4379,1929,2626,1642,965,1878,2531,1593,250,2511,1561,3403,477,4356,1208,1140,827,1244,3109,475,1055,1956,2435,964,2920,1562,1817,747,2001,1554,7068,318,1310,1776,1794,2647,2091,4230,2759,2457,1187,452,2403,3366,550,2419,5473,15300,1201,1672,3875,2174,3480,3109,2667,5253,5805,4993,5010,2771,4687,5526,1714,382,656,4276,1439,1103,3669,5499,626,180,1906,3428,4380,1922,2430,1907,897,1295,2462,1112,426,2652,2297,4524,624,4603,1076,1697,807,1080,3570,450,1288,1999,3386,1249,2538,2130,1647,390,2248,1214,7926,499,5647,3639,4347,1309,3908,912,316,5751,3581,4231,1382,3983,952,368,4522,3440,1293115
35232,1,1,1,1,11534336,1593,1988,2017,3075,1265,3704,2607,2404,1001,308,2056,2989,705,1723,7159,12624,937,1867,4285,1872,4257,4431,2589,4472,4914,5357,4578,4663,5417,5543,1679,265,789,4824,1276,1581,4473,5560,397,217,1172,2484,4616,2651,3103,1556,748,1917,2356,1516,388,2442,1484,3962,267,3348,903,1107,1308,1122,2831,365,797,2219,2179,951,3858,2272,1477,885,1297,487,6538,447,1272,2515,2354,2635,1982,4838,2734,2345,1075,346,2348,2617,620,1451,6616,11999,1250,1679,4129,2168,4378,3785,2932,4757,5562,5343,4720,3390,5424,4343,1151,514,833,3949,1666,1146,4888,6736,454,350,1654,3503,4314,2599,2700,1765,784,1700,1664,1078,544,2088,3177,3100,493,3685,946,1373,1018,1122,3014,427,966,1935,2990,1301,2994,2513,1788,355,1358,1354,7434,371,5178,3640,4021,1181,3220,782,338,4950,3668,3888,1171,2260,863,354,5434,3486,1174129
35272,1,1,1,1,11534336,2439,2693,2781,3336,1590,5327,3000,2718,2116,793,2704,3918,802,3489,10134,17954,836,2382,4105,2150,3684,4626,2565,6206,5517,8092,8711,3142,6387,8452,2857,1499,885,5180,1690,1897,7463,8279,622,537,1727,3242,7175,3716,2968,1826,1071,2223,2506,1129,481,3506,2277,4889,401,5111,1550,1908,1058,1850,4008,620,1355,2297,3038,1710,4361,2145,2060,893,2538,2638,8934,437,2637,2097,1817,2362,2693,6485,3613,3218,1854,912,2826,3663,840,2649,9794,16753,1190,2352,5361,2387,3523,5600,3606,6905,7181,7496,6377,2725,6030,7438,1564,676,946,5184,2012,2480,5673,9661,1120,446,2374,4167,6071,3355,2672,1983,1270,1996,1947,1144,940,3050,3766,5343,345,6914,1243,2802,990,1570,3848,828,1272,2769,3573,1587,4442,1990,2869,640,2795,2397,10393,565,6296,4376,4751,1291,1929,1081,438,6285,4422,4539,1318,4002,1037,433,6926,4556,1380216
35353,1,1,1,1,11534336,1578,2392,3422,3045,1251,5415,2859,2150,1389,603,2317,3028,813,2792,10038,18352,883,2379,5025,2219,4941,4422,3342,6250,7025,6952,7297,4181,7234,7162,2343,845,1668,6530,1601,1802,6036,6889,441,542,1647,2486,4948,3228,3443,1866,1044,2582,3193,1780,650,3122,3001,4869,369,5602,1340,1752,808,1713,3486,730,1137,2996,2784,1151,3643,1654,2368,1363,2252,2320,9322,518,1730,2705,2649,2457,1782,6170,3324,3223,1433,623,2393,2848,1315,2636,8528,18965,1347,2105,5273,4010,4349,4440,3382,6761,7931,6428,4541,4462,7001,6678,1191,977,1048,5478,1445,1346,6932,8398,579,553,2117,3730,5491,2872,3362,1788,1102,2220,2377,2094,538,3265,2872,4424,436,4363,1073,2566,1365,1206,3184,508,1277,3041,3778,1945,2831,2362,2087,318,2817,2329,10453,565,6510,4022,4622,1369,3133,837,498,6217,4033,4375,1329,4040,924,346,7381,5453,1380587
35495,1,1,1,1,11534336,1688,2255,1945,2433,1322,3866,2117,2110,1520,469,1905,2667,611,2342,7863,13464,749,1704,3144,1970,3340,3238,2664,5526,4462,6874,5848,2674,5261,4927,2068,420,868,4519,907,1967,5978,5000,536,64,1671,2153,5285,2066,2678,1343,804,2015,2616,1603,426,2382,1587,3109,883,4086,770,1332,749,1225,2659,511,1101,1670,2040,870,2741,2106,1599,1115,1332,1476,6237,279,1575,1520,1527,2764,1904,4185,2567,2337,1216,613,2442,2724,676,1755,7018,14250,1003,1372,3142,2685,2766,3887,2309,5288,6194,4116,3544,2770,4663,4745,1530,477,605,4014,1508,1238,6032,5952,495,134,2071,2980,5741,2316,2773,1352,856,1674,1877,1252,490,2310,2905,2937,377,4066,741,1527,676,907,2718,250,1083,1914,2745,1499,1635,2278,1519,523,1574,1621,7292,438,4989,3342,3676,1058,3240,932,326,4928,3267,3683,1032,3174,874,351,4766,4316,1124733
35538,1,1,1,1,11534336,1631,2161,2386,3014,1291,4134,3422,1949,1241,591,2552,3111,824,2915,7605,15357,874,2164,3253,2849,4100,3344,2495,6802,3860,7063,6116,3422,4768,5707,2172,334,1066,5295,1640,1892,4832,6538,498,489,1717,2750,5556,2616,2850,1197,1099,2428,2676,1134,350,3661,1519,4219,755,3144,966,1492,769,1241,3158,700,918,2346,2807,987,3202,1817,1557,848,1593,1303,7131,393,1829,1561,2089,2612,2517,5727,2952,2796,1680,625,2334,2638,1264,2618,8073,14779,1208,1706,4052,2662,4683,3497,2573,6591,6928,6631,6015,2482,4627,5625,1710,410,722,4350,1877,1207,3214,7252,611,407,1789,4137,6945,2922,2518,1402,1213,1746,2212,1258,660,2581,3542,3768,760,4752,1072,1493,952,1309,2938,489,829,1987,1929,1868,2422,1647,1801,388,1939,1357,7369,498,5605,3341,4303,1199,3833,779,370,5604,3733,4041,1254,3979,745,253,4920,4257,1324122
35557,1,1,1,1,11534336,1910,3408,2756,2941,1305,4224,2548,2138,1411,607,2367,2879,696,1566,7708,16274,1098,1985,3357,1910,3330,3415,2626,5093,4927,6184,4550,4246,5625,4464,1751,772,1189,4989,1473,1770,5758,6165,477,399,1336,2858,4216,2365,3098,1437,827,1747,2555,1766,320,2683,3423,4898,740,2959,1690,1362,831,1874,2487,817,869,2656,2410,1058,3554,2648,1493,634,1612,1476,7812,414,1848,1812,2192,2646,1992,4474,3219,2465,1261,672,2799,3111,589,1810,8129,14599,1124,1776,5113,2519,4068,3578,2925,6050,5526,5616,3998,3323,5692,5553,1109,554,817,4286,1378,1379,5627,7214,612,237,1787,4178,4692,2472,2967,1877,1057,1415,2150,1639,617,3246,3962,3992,785,4003,1413,1855,931,1477,2775,570,1117,2602,2711,1361,2977,2269,2186,191,1783,1587,8184,397,5556,3257,3870,1099,3649,857,267,5725,3244,3821,1055,3620,877,300,4667,4448,1327452
36144,1,1,1,1,11534336,1615,2292,2131,2387,1454,4289,2910,2485,970,394,2404,3104,482,2618,8214,14632,733,1839,3418,2392,3611,3309,3058,5101,5205,5082,5408,3104,5630,4658,2176,463,924,4564,1185,1032,5526,4967,448,314,1352,2420,4230,2191,3419,1446,713,2237,2206,1199,507,2987,1546,4065,387,3996,1020,1267,1062,1041,2800,560,713,2044,3033,994,2566,1696,2197,867,976,1078,6083,415,1587,1728,2083,2055,2181,4882,2722,2578,1102,722,2962,2997,983,2128,6432,14311,736,1465,3407,2704,3195,3453,2948,5562,5256,4807,4622,2537,5905,4693,1389,401,798,4454,2147,1211,5443,5823,504,278,1817,3620,5345,2317,2478,1697,847,1778,2001,1912,595,2866,2811,3244,500,3688,1058,1387,1024,1053,2583,644,679,2284,3567,1735,2512,2503,1517,744,1608,1152,6660,341,5782,3210,4815,1257,2696,740,323,6213,3186,4822,1266,2534,855,337,2181,1681,1204326
36207,1,1,1,1,11534336,1791,1779,2242,2644,1399,4915,2521,2326,1375,599,2442,3361,769,3801,10199,15471,1103,2265,4453,2703,4184,3697,2991,5803,4742,6513,6199,3207,6025,6110,2205,511,821,5925,1765,1604,5647,8826,612,614,1317,3017,5283,2955,3161,1579,945,2465,2529,2108,313,4162,2071,4192,372,4637,1766,1692,449,1054,3066,522,1079,2729,2430,1482,4400,1897,1687,1029,1383,2239,7283,395,1412,1939,2007,2279,1241,5219,2901,3189,1218,653,2640,2765,901,2548,9106,14719,981,1786,4980,2481,4487,4167,2204,7778,5069,6964,5585,3179,7092,5851,1733,742,606,4101,2037,1314,5456,7893,530,440,1831,5027,5129,2917,3518,1668,1126,1689,1790,1596,672,3213,2836,3231,1173,4204,1646,1857,774,1403,3491,1191,1381,3326,2403,1547,4224,3280,1709,578,1464,1727,8449,264,5820,3247,4539,1344,3991,1092,432,5567,3226,4197,1258,3958,1088,382,6273,6671,1376246
36387,1,1,1,1,11534336,1640,2463,1724,2560,1506,4195,2569,2057,606,284,1761,2935,627,2049,7107,13347,999,1351,3168,1943,3549,3281,3128,5011,4504,5286,4189,2540,4867,4261,1852,654,1126,4642,1357,1606,5968,5014,274,239,1425,2143,5201,2051,2086,1293,632,1910,2016,1766,207,2882,1412,2285,458,3548,956,1159,427,1420,2414,445,711,1226,2154,936,2805,1240,2364,1021,1257,1153,6693,542,1723,1818,1733,2280,1978,4364,2828,2209,801,451,1902,2218,938,1993,5677,13639,943,1037,2960,2301,2644,3393,3227,5738,4872,6417,3538,2498,4731,3510,1519,398,603,3702,1621,1143,6119,6254,551,229,2026,3456,4740,1819,2067,1763,837,1357,1782,1975,813,2222,3987,3146,405,3155,797,856,884,1052,2391,360,581,1838,2232,1502,2534,1755,1833,824,1343,1641,6734,396,4998,2712,4115,1174,3019,1060,313,4971,2760,3993,1154,2891,886,310,2837,2395,1061715
36487,1,1,1,1,11534336,1980,3137,2236,2746,1490,4170,2755,2143,1143,581,2214,2539,652,1823,9680,18161,827,1822,3879,2578,3940,3675,3154,6719,5060,5698,5931,4351,6433,5621,2150,620,1316,5255,1440,1557,5759,8587,414,441,1534,2906,6415,2759,3344,1390,787,2434,1816,1756,498,2885,2779,4563,365,3500,1989,1432,1111,1009,2767,815,1178,2363,2913,756,3534,2427,2129,1232,1119,1289,8818,502,2391,2232,2706,2288,2430,5017,2718,2544,972,520,2814,2636,776,1804,8781,16516,1120,1629,5312,2922,3484,4460,3774,6433,6009,4436,3889,4466,5965,4320,1282,592,666,5227,1636,1318,6247,6784,413,231,2042,3356,4909,2911,3553,1961,896,2115,1545,1781,1109,2191,4098,4965,958,3595,1689,2048,1244,1312,3034,627,1216,2542,3226,1653,2861,2842,1217,867,1569,1290,8995,299,5579,3919,4564,1178,3970,790,312,5468,4199,4473,1266,3632,996,306,5678,5169,1319524
36664,1,1,1,1,11534336,2134,2634,2328,2378,1257,4480,2362,2324,1392,338,2049,2662,538,2981,9800,16355,1172,2274,4820,2145,3103,4882,2763,5723,4970,6177,6294,3049,5100,6192,1716,641,1073,5071,1714,981,6635,6552,606,598,1278,2185,5550,2801,2492,1636,895,1704,2648,1276,446,3340,2040,3799,143,3591,1223,2067,1239,1423,3341,343,1441,2151,2621,996,3153,2117,1705,895,1351,1124,8719,570,1759,2220,2028,2547,2393,4638,2930,2429,1539,787,2865,2785,1313,2520,8882,15877,1066,1874,5153,2843,4327,4312,3311,6233,4142,6492,4949,3190,4788,5572,1168,458,807,4474,1353,1466,6799,7568,612,257,1952,4302,5955,2799,3014,1435,1044,1496,2195,1139,507,2718,2031,3413,409,3954,1137,2019,545,1600,2872,663,908,2509,2848,1633,3089,2718,1876,165,1752,1747,9120,499,5489,3550,4674,1276,3599,794,329,5460,3757,4620,1175,3586,872,323,5374,3691,1295607
36866,1,1,1,1,11534336,3081,3116,3694,4173,2505,6552,3491,3545,2027,493,2828,4646,917,4017,13442,22765,1420,2327,5467,3768,5237,5846,3678,7045,7953,9139,7876,5103,7996,7392,2408,1086,1375,7532,1985,2402,7730,11239,579,580,1989,3341,7438,3579,4509,2214,1117,2172,3049,1817,587,3763,3201,5354,1248,5480,1990,1551,769,1425,5535,596,1222,2728,4193,1918,4578,2735,2077,1452,2071,2691,9628,714,2274,2215,3757,3479,3743,7047,4511,4773,1414,674,2942,3718,981,3988,15957,19874,1231,2051,6297,3355,5944,5403,3958,7398,9186,7625,6160,4765,8999,6774,1530,900,1026,6600,2709,2432,7348,11009,812,674,2518,5830,7041,3148,4233,2860,1157,2318,2428,1928,704,4026,4929,4907,840,6787,1300,2272,1442,1804,4460,629,1411,2741,3813,2748,3405,2671,3166,1025,2275,2234,11358,551,6702,4963,4910,1506,4878,1041,402,6939,4866,4964,1475,4869,1098,376,14968,14739,1663344
36966,1,1,1,1,11534336,1429,2588,2587,3016,1184,3926,2463,2271,1272,788,2538,2805,1008,3118,7745,13901,1039,2071,4238,2461,4360,4307,2678,5153,4105,4772,4517,3439,5442,5088,1778,684,831,5129,1172,1523,6014,6347,413,418,1323,2427,4691,2855,3466,1711,941,2273,2689,907,498,3183,1783,3662,280,3623,1541,1199,1278,857,3067,490,960,2401,3013,933,3473,2149,1768,869,1265,2249,6321,409,1521,2382,2103,2405,2518,4005,3261,2884,1424,748,2173,2571,891,2679,5464,14400,999,1849,4465,2579,4051,4216,2732,5265,4488,4427,4373,2256,4805,4539,1217,550,619,5131,1382,1320,6142,5564,569,302,1592,3551,4618,2623,2916,1617,845,1928,2068,1319,583,2511,3093,4045,696,3999,1402,1184,1281,827,2760,578,1308,2162,2837,1687,1888,2431,2158,733,1763,1382,9542,377,6073,3767,4208,1313,3857,1070,293,5994,3568,4070,1356,3912,1148,296,8120,8138,1305945
37117,1,1,1,1,11534336,1878,2260,2400,2678,1467,4124,2333,2733,1529,626,2055,3537,609,3569,9071,19307,1047,1973,3914,1850,4492,4254,2705,5665,5054,8962,6242,3209,6526,5305,2066,449,807,4620,2033,2202,7027,7635,558,451,1776,2479,4930,2640,2607,1613,1186,2073,2461,1666,415,3045,1810,5546,642,5213,2014,1755,844,1883,3631,349,1192,1775,1978,1079,3756,3002,2280,1242,1629,1887,7430,487,1884,2038,2098,2726,2754,4833,3418,2587,1385,742,2587,2682,927,2048,7528,18046,1192,1998,3790,3019,4189,4569,2572,6902,6269,7204,4959,3157,6653,5542,1174,591,793,4142,1607,1415,6439,7224,441,349,1876,3478,5826,2276,3162,1740,1029,1746,2203,2233,927,2622,3429,4358,896,4093,1139,2313,839,1334,3330,701,851,2395,3263,2047,2828,3280,2254,507,2101,1699,9506,388,5967,4041,4374,1101,3934,836,443,5878,3917,4174,1150,3937,875,331,5071,4928,1379102
37130,1,1,1,1,11534336,2005,2223,1913,2289,1262,4137,2518,2319,1049,395,1945,3087,760,1861,9959,14307,878,1865,3636,2237,2742,3707,3314,5544,5302,6009,4564,2975,4768,3998,1877,430,818,4723,1441,1154,7300,6902,302,260,1232,2185,5405,2396,2737,1586,781,1923,2476,1811,621,2954,1952,3827,284,3433,1032,1598,1094,720,2844,402,798,2034,2277,1125,3419,2360,1283,1030,1561,1550,7675,384,1947,1856,1759,2113,1860,4143,3090,2574,1373,705,2178,3357,688,2000,9730,14268,1177,1493,4314,2324,2885,3693,3570,6830,6047,5565,3808,2513,4923,4497,1462,506,553,4271,958,965,6270,5911,572,252,1657,3138,4664,2284,2382,1994,844,1794,1847,1856,690,2724,2144,4157,504,3799,775,1755,1576,1174,2420,482,1121,2096,2376,1575,2227,2574,1302,590,1723,1354,7070,521,5498,3515,3992,1034,3979,922,401,5221,3693,3874,1041,2518,892,318,7216,4602,1184813
37149,1,1,1,1,11534336,2274,2851,2603,3284,2030,4992,4031,2590,1444,515,3011,3750,839,2420,10949,16575,829,2349,4868,2235,5190,3630,2874,7643,5870,6667,6663,3921,6904,6093,2197,808,983,6495,1927,2218,7307,6749,446,381,1530,3024,6181,2803,3063,1749,1025,2402,2898,1730,714,3196,2710,5341,842,4208,1582,1924,948,1386,3080,635,1531,3160,2515,1434,3730,2755,1503,1388,1841,1584,9268,564,2074,2207,2033,3405,2538,6054,3990,3203,1519,773,2683,2541,1142,3007,10447,17583,1047,1769,5276,3193,3276,4974,3262,7689,6205,5628,5145,3106,5955,6159,1373,901,1020,5588,2075,1525,6654,9136,505,314,2553,4209,6586,3623,3076,2099,1197,2185,2179,1438,1080,3118,3386,4738,549,4968,1485,2066,1325,1677,3498,473,1148,2851,3435,1941,2638,2754,1809,579,1635,2108,9938,488,6379,3622,4831,1289,3630,947,491,6197,3672,4498,1202,3766,1034,380,3010,2337,1371085
37289,1,1,1,1,11534336,1808,2804,2726,2897,1598,3527,3239,2773,1279,654,2861,2707,882,2350,9300,17225,1147,2437,4820,2434,4510,3843,3571,6260,7140,6473,4748,3482,5935,6592,2022,917,1221,5508,1101,1674,6250,6935,464,415,1504,2846,4184,2568,3568,1565,1072,2335,3057,1607,492,2513,1464,4042,570,3486,1537,1666,1309,1516,2973,706,992,1777,2456,1259,2933,2245,2081,1056,1581,1964,7484,462,1754,1732,1705,2541,2431,4620,2865,2280,1688,675,2869,2519,660,1964,9060,16313,1239,2120,4868,2933,4372,4408,3563,7725,6377,5197,4406,3383,6812,5226,1663,535,714,4986,1465,1676,5020,7773,563,379,1933,5151,4189,3186,3517,1744,1287,1519,2140,1755,278,2366,2592,4648,362,3783,2019,2494,932,1300,2346,520,1148,2328,2833,1685,2996,2864,2026,278,2244,1645,8727,371,6662,3141,4621,1281,3962,793,351,6264,3031,4605,1250,4037,793,360,5663,5399,1454536
37348,1,1,1,1,11534336,1847,2557,3957,3256,1383,4812,3173,3790,1650,537,1437,4482,905,2887,7977,17764,1011,2189,4149,1768,3974,6067,3694,5916,6424,7229,3830,4343,6323,4610,1575,759,980,4894,2115,1365,6900,8462,487,361,1232,2369,5462,2836,3758,2220,1249,2614,2808,1234,522,3155,2250,3357,455,3854,2046,879,1596,1526,4200,533,1068,2175,1246,1813,3551,1641,1888,822,2451,3036,8614,405,1347,2373,2286,2585,2753,4976,2687,3386,1878,872,2766,2665,1018,3201,7122,16963,1066,1791,5925,2741,3926,5799,4441,6049,4814,7238,3280,4819,6274,3991,1123,611,877,4273,1818,1603,5016,8267,609,636,1468,4402,5088,2878,3888,2592,1296,1879,2319,1335,1107,2367,2180,3151,877,3501,1800,1932,1613,1185,3549,634,1413,2160,2038,1961,2630,1472,1951,528,2737,1729,9527,514,6157,3909,4735,1297,4471,1244,470,5765,3809,4702,1252,4429,1083,338,5063,6435,1518471
44784,1,1,1,1,11534336,1776,2099,1812,2399,1447,4214,2796,2349,972,463,2073,2698,464,2412,7717,13073,918,1635,3123,2149,3065,2816,2569,4862,4557,4869,5055,2842,5228,4121,1957,210,811,4686,972,799,5719,5026,466,272,1217,2491,4340,1863,3145,1309,589,1966,2064,1376,306,2325,1343,3363,934,3384,1019,1086,948,1218,2603,571,701,1782,2791,901,2380,1678,2022,951,962,1553,5792,295,1486,2080,1797,1870,1800,4601,2709,2394,1080,654,2514,2690,1117,1910,5912,13082,737,1308,3135,2758,2966,2931,2411,5172,5210,4465,4514,2455,5501,4156,1505,360,822,4183,1822,1051,5635,5920,466,320,1601,3068,4797,2023,2375,1427,856,1620,1928,1856,554,2579,2486,2935,423,3416,879,1138,802,1147,2252,503,606,2037,3239,1792,2027,2125,1364,398,1359,1195,6209,300,5635,2883,4465,1236,2553,757,309,5766,2957,4520,1248,2417,837,312,3222,2490,1196932
